PID,POS,X,Y,block
29,98,-129.487609863281,53.2264878014495,29
29,99,-129.490184783936,53.2235074936157,29
29,100,-129.492073059082,53.2211436537105,29
29,101,-129.494132995605,53.2202186373624,29
29,102,-129.495162963867,53.2190880346955,29
29,103,-129.496364593506,53.2200130754609,29
29,104,-129.49893951416,53.2208353171476,29
29,105,-129.500484466553,53.2217603201772,29
29,106,-129.500141143799,53.2188824673679,29
29,107,-129.499454498291,53.2167239508634,29
29,108,-129.502544403076,53.2150792938522,29
29,109,-129.498081207275,53.2128177873606,29
29,110,-129.49893951416,53.2102477487081,29
29,111,-129.503746032715,53.2082944162265,29
29,112,-129.507350921631,53.2087056515174,29
29,113,-129.507522583008,53.2112757826688,29
29,114,-129.511470794678,53.2134345736978,29
29,115,-129.509925842285,53.2150792938522,29
29,116,-129.514217376709,53.2150792938522,29
29,117,-129.515247344971,53.2169295285501,29
29,118,-129.520568847656,53.2162100023303,29
29,119,-129.523658752441,53.2165183721901,29
29,120,-129.52709197998,53.2212464320715,29
29,121,-129.529666900635,53.219499166391,29
29,122,-129.528980255127,53.2174434684506,29
29,123,-129.533271789551,53.2170323170235,29
29,124,-129.539623260498,53.2169295285501,29
29,125,-129.542026519775,53.2159016302506,29
29,126,-129.539623260498,53.2149765006924,29
29,127,-129.544944763184,53.2133317765915,29
29,128,-129.544773101807,53.214873707286,29
29,129,-129.546489715576,53.2146681197333,29
29,130,-129.54683303833,53.1703409830004,29
30,1,-129.342384338379,53.1356495492143,27
30,2,-129.342384338379,53.140386530424,27
30,3,-129.344444274902,53.1451229893169,27
30,4,-129.34684753418,53.1477998872222,27
30,5,-129.344444274902,53.1498589259183,27
30,6,-129.344100952148,53.1535649467804,27
30,7,-129.346160888672,53.1587116673423,27
30,8,-129.348564147949,53.1632402710629,27
30,9,-129.347190856934,53.1677683970097,27
30,10,-129.350624084473,53.173324989532,27
30,11,-129.34684753418,53.178263578819,27
30,12,-129.344787597656,53.1832015996033,27
30,13,-129.343757629395,53.1869047421287,27
30,14,-129.477310180664,53.187727619266,27
30,15,-129.477996826172,53.1727076258968,27
30,16,-129.473533630371,53.1696206744694,27
30,17,-129.467697143555,53.1630344358043,27
30,18,-129.46460723877,53.160152638534,27
30,19,-129.46117401123,53.160152638534,27
30,20,-129.457397460938,53.155006090732,27
30,21,-129.457397460938,53.152329642034,27
30,22,-129.454650878906,53.152329642034,27
30,23,-129.453620910645,53.1492412246759,27
30,24,-129.451904296875,53.1457407497969,27
30,25,-129.447441101074,53.1457407497969,27
30,26,-129.44263458252,53.1434755845945,27
30,27,-129.440574645996,53.140798417149,27
30,28,-129.437484741211,53.1405924742801,27
30,29,-129.439544677734,53.1383270375566,27
30,30,-129.435768127441,53.1354435816608,27
30,31,-129.342384338379,53.1356495492143,27
30,32,-129.342384338379,53.1356495492143,27
30,33,-129.342384338379,53.140386530424,27
30,34,-129.344444274902,53.1451229893169,27
30,35,-129.34684753418,53.1477998872222,27
30,36,-129.344444274902,53.1498589259183,27
30,37,-129.344100952148,53.1535649467804,27
30,38,-129.346160888672,53.1587116673423,27
30,39,-129.348564147949,53.1632402710629,27
30,40,-129.347190856934,53.1677683970097,27
30,41,-129.350624084473,53.173324989532,27
30,42,-129.34684753418,53.178263578819,27
30,43,-129.344787597656,53.1832015996033,27
30,44,-129.343757629395,53.1869047421287,27
30,45,-129.477310180664,53.187727619266,27
30,46,-129.477996826172,53.1727076258968,27
30,47,-129.473533630371,53.1696206744694,27
30,48,-129.467697143555,53.1630344358043,27
30,49,-129.46460723877,53.160152638534,27
30,50,-129.46117401123,53.160152638534,27
30,51,-129.457397460938,53.155006090732,27
30,52,-129.457397460938,53.152329642034,27
30,53,-129.454650878906,53.152329642034,27
30,54,-129.453620910645,53.1492412246759,27
30,55,-129.451904296875,53.1457407497969,27
30,56,-129.447441101074,53.1457407497969,27
30,57,-129.44263458252,53.1434755845945,27
30,58,-129.440574645996,53.140798417149,27
30,59,-129.437484741211,53.1405924742801,27
30,60,-129.439544677734,53.1383270375566,27
30,61,-129.435768127441,53.1354435816608,27
30,62,-129.342384338379,53.1356495492143,27
31,1,-129.477653503418,53.1879333360831,30
31,2,-129.477996826172,53.2323450434126,30
31,3,-129.294319152832,53.2321395397145,30
31,4,-129.298095703125,53.228440304466,30
31,5,-129.300155639648,53.2255629005251,30
31,6,-129.309768676758,53.2249462888106,30
31,7,-129.314575195312,53.2235074936157,30
31,8,-129.320411682129,53.2214519880537,30
31,9,-129.325218200684,53.2181629739521,30
31,10,-129.33277130127,53.2181629739521,30
31,11,-129.33277130127,53.2150792938522,30
31,12,-129.340667724609,53.2126121899416,30
31,13,-129.339637756348,53.211584188047,30
31,14,-129.344100952148,53.2082944162265,30
31,15,-129.344787597656,53.2027423535073,30
31,16,-129.345474243164,53.1990405787354,30
31,17,-129.33895111084,53.1984235851904,30
31,18,-129.343414306641,53.1951328029584,30
31,19,-129.343414306641,53.1873161826712,30
31,20,-129.477653503418,53.1879333360831,30
31,21,-129.477653503418,53.1879333360831,30
31,22,-129.477996826172,53.2323450434126,30
31,23,-129.294319152832,53.2321395397145,30
31,24,-129.298095703125,53.228440304466,30
31,25,-129.300155639648,53.2255629005251,30
31,26,-129.309768676758,53.2249462888106,30
31,27,-129.314575195312,53.2235074936157,30
31,28,-129.320411682129,53.2214519880537,30
31,29,-129.325218200684,53.2181629739521,30
31,30,-129.33277130127,53.2181629739521,30
31,31,-129.33277130127,53.2150792938522,30
31,32,-129.340667724609,53.2126121899416,30
31,33,-129.339637756348,53.211584188047,30
31,34,-129.344100952148,53.2082944162265,30
31,35,-129.344787597656,53.2027423535073,30
31,36,-129.345474243164,53.1990405787354,30
31,37,-129.33895111084,53.1984235851904,30
31,38,-129.343414306641,53.1951328029584,30
31,39,-129.343414306641,53.1873161826712,30
31,40,-129.477653503418,53.1879333360831,30
32,1,-129.492073059082,53.2348110108483,32
32,2,-129.492073059082,53.2387151687918,32
32,3,-129.496536254883,53.2426189706555,32
32,4,-129.507179260254,53.2477550095753,32
32,5,-129.510955810547,53.2557659994269,32
32,6,-129.510955810547,53.2609004603665,32
32,7,-129.504089355469,53.2637754892731,32
32,8,-129.502716064453,53.2715781648973,32
32,9,-129.503059387207,53.2744524759412,32
32,10,-129.50855255127,53.2779424509682,32
32,11,-129.51473236084,53.27404187191,32
32,12,-129.51473236084,53.2787635801516,32
32,13,-129.515419006348,53.2834847668194,32
32,14,-129.527435302734,53.2880001964741,32
32,15,-129.536361694336,53.2916942840056,32
32,16,-129.529495239258,53.2941568315766,32
32,17,-129.521255493164,53.2937464168396,32
32,18,-129.517135620117,53.2927203627454,32
32,19,-129.515762329102,53.2955932521035,32
32,20,-129.520225524902,53.2974400075184,32
32,21,-129.524002075195,53.2990815008548,32
32,22,-129.529495239258,53.301953962388,32
32,23,-129.52709197998,53.3060571437192,32
32,24,-129.521255493164,53.3074931640374,32
32,25,-129.515419006348,53.3068777326722,32
32,26,-129.516105651855,53.3009281054481,32
32,27,-129.510955810547,53.293951624701,32
32,28,-129.509582519531,53.2925151489691,32
32,29,-129.509239196777,53.2880001964741,32
32,30,-129.504776000977,53.2851267964493,32
32,31,-129.503746032715,53.2828689894407,32
32,32,-129.499282836914,53.2869740043619,32
32,33,-129.495162963867,53.2828689894407,32
32,34,-129.493789672852,53.2828689894407,32
32,35,-129.492073059082,53.2797899694468,32
32,36,-129.49104309082,53.2417971472219,32
32,37,-129.492073059082,53.2348110108483,32
32,38,-129.492073059082,53.2348110108483,32
32,39,-129.492073059082,53.2387151687918,32
32,40,-129.496536254883,53.2426189706555,32
32,41,-129.507179260254,53.2477550095753,32
32,42,-129.510955810547,53.2557659994269,32
32,43,-129.510955810547,53.2609004603665,32
32,44,-129.504089355469,53.2637754892731,32
32,45,-129.502716064453,53.2715781648973,32
